id,car_variant,odometer_reading,vehicle_fuel_type,vehicle_make,vehicle_model,city,car_valuation,months_since_manufactured
730,T8,38572.0,DIESEL,MAHINDRA,TUV 300,MORBI,672883,8
686,E PETROL,,PETROL,HONDA,JAZZ,TIRUVALLUR,476936,9
57,MAHINDRA BOLERO ZLX,,DIESEL,MAHINDRA AND MAHINDRA LIMITED,MAHINDRA BOLERO ZLX,COIMBATORE,624173,9
28,ALPHA,63562.0,PETROL,MARUTI,CIAZ,GURGAON,751100,7
520,VXI,29105.0,PETROL,MARUTI,WAGON R,CUDDALORE,503100,4
402,1.5 V MT,118484.0,PETROL,HONDA,CITY,CUDDALORE,567600,10
581,ZXI OPTIONAL,33252.0,PETROL,MARUTI,CELERIO,PUDICHERRY,448700,5
33,1.0 TSI HIGHLINE PLUS,16534.0,PETROL,VOLKSWAGEN,POLO,COIMBATORE,908596,3
124,ZXI,39801.0,PETROL,MARUTI,SWIFT,PUNE,733812,3
625,MAGNA,55483.0,PETROL,HYUNDAI,GRAND I10,GHAZIABAD,503656,5
701,1.2 MT CRDI SX O,,DIESEL,HYUNDAI,AURA,KURNOOL,871325,4
322,1.2 CRDI ASTA,83548.0,PETROL,HYUNDAI,GRAND I10,KANCHEEPURAM,458800,9
312,EECO  5 STR,,PETROL,MARUTI SUZUKI INDIA LTD,EECO  5 STR,KALYAN,439897,5
448,AMBITION 81 KW TDI CR,84023.0,DIESEL,SKODA,RAPID,GHAZIABAD,473690,7
510,1.2 CRDI SPORTZ,20947.0,PETROL,HYUNDAI,GRAND I10,PUDUCHERRY,540001,6
40,1.5 CRDI MT EX,73952.0,DIESEL,HYUNDAI,CRETA,GONDA,1256700,3
374,S6,69575.0,DIESEL,MAHINDRA,SCORPIO,GHAZIABAD,540317,9
43,ZXI,,PETROL,MARUTI,ERTIGA ,BANGALORE,658200,10
274,ZLX,76421.0,DIESEL,MAHINDRA,BOLERO POWER PLUS,LUDHIANA,648600,7
533,CNG LXI,57171.0,PETROL + CNG,MARUTI,WAGON R,DELHI,461792,5
286,ALPHA PETROL,,PETROL,MARUTI,BALENO,BANGALORE,794372,5
478,ETIOS,,DIESEL,TOYOTA,ETIOS,KURNOOL,662437,7
214,ZDI,67027.0,DIESEL,MARUTI,SWIFT,PUNE,737767,5
307,CNG LXI OPT,47458.0,PETROL + CNG,MARUTI,WAGON R,DELHI,536332,3
467,PRIME T CRDI BSIV,,DIESEL,HYUNDAI,GRAND I10,CHENNAI,463593,6
491,1.4 CRDI S,94582.0,DIESEL,HYUNDAI,CRETA,UDAIPUR,876300,6
255,G MT,13732.0,PETROL,TOYOTA,GLANZA,NAGPUR,830817,3
198,INNOVA CRYSTA 2.4 Z7 SEATER,,DIESEL,TOYOTA ETIOS,INNOVA CRYSTA 2.4 Z7 SEATER,HYDERABAD,1809893,7
127,RXT,91106.0,PETROL,RENAULT,KWID,MANGALORE,399431,6
182,XUV 500 F WD W8,,DIESEL,MAHINDRA,MAHINDRA XUV 500 F WD W8,VILLUPURAM,749662,10
702,W8 AWD,,DIESEL,MAHINDRA,XUV500 ,RAJKOT,663861,11
323,CIAZ HYBRID,85381.0,DIESEL,MARUTI,CIAZ HYBRID,PUNE,603311,7
294,SPORTZ,112477.0,PETROL,HYUNDAI,I20,RAJSAMAND,583552,7
4,VTVT SX,,PETROL,HYUNDAI,XCENT ,BANGLALORE,337932,10
652,BALENO DELTA,,DIESEL,MARUTI,BALENO DELTA,HYDERABAD,671850,6
472,TITANIUM,,PETROL,FORD,ECOSPORT,GURGAON,732999,4
723,VVT ZXI,84708.0,PETROL,MARUTI,SWIFT,DAVANGERE,473500,10
548,1.6 CRDI SX,36802.0,DIESEL,HYUNDAI,VERNA,LUDHIANA,1279014,4
382,5 SEATER AC,63354.0,PETROL + CNG,MARUTI,EECO,PUNE,462000,6
52,I VTEC VX,97648.0,PETROL,HONDA,CITY,UDAIPUR,488454,9
24,LXI,3394.0,PETROL,MARUTI,ALTO,NOIDA,425810,1
475,VDI,181502.0,DIESEL,MARUTI,VITARA BREZZA,MUMBAI,619203,8
636,RXI 1 0 SC C OPTION,,PETROL,RENAULT,KWID,TIRUVALLUR,407596,6
269,GREEN VXI,,PETROL,MARUTI,ERTIGA,PALGHAR,668336,7
295,RS,66464.0,PETROL,MARUTI,BALENO,CHENGALPATTU,665700,7
113,LXI,29547.0,PETROL,MARUTI,ALTO 800,UDAIPUR,322300,5
123,SX,77473.0,DIESEL,HYUNDAI,CRETA,HYDERABAD,1788000,4
240,ZXI,44548.0,PETROL,MARUTI,CELERIO,KOLHAPUR,558700,3
257,VXI,48008.0,PETROL,MARUTI,SWIFT DZIRE,DELHI,473300,9
133,320D GT LUXURY LINE,,DIESEL,BMW,3 SERIES ,BANGALORE,2439125,9
89,1.5 S MT,64657.0,PETROL,HONDA,CITY,FARIDABAD,1006617,7
51,DCI XV BSIV,,DIESEL,NISSAN,SUNNY,CHENNAI,463952,12
594,BALENO ZETA,,PETROL,MARUTI,BALENO ZETA,HYDERABAD,680892,6
260,ZLX,63642.0,DIESEL,MAHINDRA,BOLERO POWER PLUS,RAJSAMAND,707900,6
335,SIGMA,42993.0,PETROL,MARUTI,BALENO,GHAZIABAD,591392,4
338,2.2 LITRE LUXURY,47556.0,DIESEL,JAGUAR,XF,CHENNAI,2075400,11
371,INNOVA,89914.0,DIESEL,TOYOTA,INNOVA,THANE,1100000,9
92,1.4 EXI,,DIESEL,FORD,FIGO,TIRUVALLUR,258832,12
641,VXI AMT,84960.0,PETROL,MARUTI,WAGON R,WEST DELHI,330431,8
72,RXL,38238.0,PETROL,RENAULT,TRIBER,SALEM,682700,5
351,G80 K6 PLUS 5STR,,PETROL,MAHINDRA,KUV 100,KANCHIPURAM,277549,7
395,DELTA BSIV,,DIESEL,MARUTI SUZUKI INDIA LTD,S CROSS,CHENNAI,637381,8
308,RXT BSIV,10850.0,PETROL,RENAULT,KWID,JAIPUR,480000,3
744,VDI BSIV,25837.0,DIESEL,MARUTI,SWIFT DZIRE,KOLHAPUR,564000,8
150,VXI,78383.0,PETROL + CNG,MARUTI,ALTO K10,FARIDABAD,251593,9
26,1.4 CRDI MT S,48748.0,DIESEL,HYUNDAI,VENUE,AMRAVATI,814718,5
74,AMT ZDI,100664.0,DIESEL,MARUTI,SWIFT,JAMNAGAR,726600,6
658,VXI,,PETROL,HYUNDAI,I10,NOIDA,250000,11
431,B200 CDI,87032.0,DIESEL,MERCEDES-BENZ,B CLASS,CHENNAI,1107900,10
